Revisions,Reviewer,AddedLines,DeletedLines,Messages,TimeToMerge,Nbfiles,Comments,Description
2,3,84,198,10,12.8025,9,0,50
3,6,13,16,17,17.9,2,0,42
3,5,296,1,24,46.7425,8,6,50
1,12,76,37,13,35.214444444444446,2,0,45
1,12,108,83,9,39.92388888888889,2,0,45
1,12,98,65,8,35.71111111111111,2,0,45
1,13,89,57,9,30.403055555555557,2,0,45
1,14,67,25,13,8.368611111111111,4,0,29
1,13,20,3,9,8.490833333333333,2,0,48
1,12,225,0,8,2.522222222222222,4,0,31
1,4,8,0,9,3.9669444444444446,2,0,50
5,13,23,1,44,11013.710555555555,2,5,31
16,13,57,0,65,10899.870277777778,1,18,30
1,3,23,7,14,16.1575,2,0,38
1,6,190,31,11,930.4830555555556,2,0,29
2,3,9,0,9,1.3972222222222221,2,0,36
6,7,277,0,25,340.24583333333334,4,1,55
8,8,22,3,31,7795.939444444444,1,1,38
1,8,48,15,17,1227.7580555555555,2,10,45
1,7,137,20,9,48.26361111111111,4,0,44
4,9,137,20,30,5341.884722222222,4,9,45
2,5,22,14,19,70.39666666666666,5,0,28
2,7,4,457,16,386.2338888888889,7,0,32
1,4,4,23,8,0.3561111111111111,2,0,44
1,4,33,0,8,148.36388888888888,2,0,49
9,14,81,27,54,7622.19,5,34,44
7,14,124,2,59,4057.838333333333,3,4,34
1,5,52,36,9,31.906666666666666,2,0,35
1,3,30,14,7,31.830833333333334,2,0,35
1,4,115,0,8,31.587777777777777,3,0,17
3,6,80,60,12,284.1413888888889,3,0,48
1,6,3,419,9,136.21305555555554,5,0,45
1,5,20,5,7,484.9277777777778,2,0,74
1,3,3,3,6,313.2294444444444,2,0,61
6,12,299,167,33,702.3661111111111,9,0,28
1,6,221,18,12,98.1125,5,4,47
19,8,637,240,102,4316.629444444445,6,27,54
3,18,2,0,26,4033.3147222222224,1,2,29
1,4,12,2,9,120.31083333333333,2,0,53
1,3,15,31,7,120.26916666666666,2,0,59
1,6,30,6,11,90.04277777777777,2,0,52
2,11,172,0,22,301.03055555555557,2,7,36
1,7,81,27,10,189.81583333333333,5,0,44
1,6,13,2,8,15.425833333333333,2,0,58
1,4,147,0,8,94.25472222222223,2,0,47
2,9,8,7,12,294.64472222222224,2,0,49
1,4,14,6,8,19.518055555555556,6,0,65
1,3,9,0,6,19.788888888888888,2,0,46
1,4,50,0,6,19.38361111111111,2,0,25
1,6,47,0,10,100.93583333333333,3,1,50
1,3,10,10,6,1.9925,2,0,33
1,3,20,14,6,1.5958333333333334,9,0,37
1,3,77,21,7,72.90416666666667,8,0,38
50,6,187,5,185,1988.441388888889,6,21,65
34,10,2037,1,125,2085.6358333333333,24,34,25
6,9,2,2,59,1755.8866666666668,3,4,69
2,7,3,3,19,1739.528611111111,2,0,45
